extract,extract_label,type,records,file
Document.document_version__sys,Document Version,updates,0,
Document.document_version__sys,Document Version,deletes,0,
Metadata.metadata,Metadata,updates,0,
Metadata.metadata,Metadata,deletes,0,
Object.abcd__c,abcd,updates,0,
Object.abcd__c,abcd,deletes,0,
Object.activity__v,Activity,updates,0,
Object.activity__v,Activity,deletes,0,
Object.addedfortesting__c,addedForTesting,updates,0,
Object.addedfortesting__c,addedForTesting,deletes,0,
Object.agency_unit_of_measurement__v,Agency Unit of Measurement,updates,0,
Object.agency_unit_of_measurement__v,Agency Unit of Measurement,deletes,0,
Object.aggregate_report__v,Aggregate Report,updates,0,
Object.aggregate_report__v,Aggregate Report,deletes,0,
Object.aggregate_report_case__v,Aggregate Report Case,updates,0,
Object.aggregate_report_case__v,Aggregate Report Case,deletes,0,
Object.aggregate_report_country__v,Aggregate Report Country,updates,0,
Object.aggregate_report_country__v,Aggregate Report Country,deletes,0,
Object.aggregate_report_destination__v,Aggregate Report Destination,updates,0,
Object.aggregate_report_destination__v,Aggregate Report Destination,deletes,0,
Object.aggregate_report_intervals__v,Aggregate Report Interval,updates,0,
Object.aggregate_report_intervals__v,Aggregate Report Interval,deletes,0,
Object.aggregate_report_task__v,Aggregate Report Section,updates,0,
Object.aggregate_report_task__v,Aggregate Report Section,deletes,0,
Object.aggregate_report_template__v,Aggregate Report Template,updates,0,
Object.aggregate_report_template__v,Aggregate Report Template,deletes,0,
Object.aggregate_report_template_item__v,Aggregate Report Template Item,updates,0,
Object.aggregate_report_template_item__v,Aggregate Report Template Item,deletes,0,
Object.aggregate_reporting_group__v,Aggregate Reporting Group,updates,0,
Object.aggregate_reporting_group__v,Aggregate Reporting Group,deletes,0,
Object.annotation_keyword_targets__sys,Claim Targets,updates,0,
Object.annotation_keyword_targets__sys,Claim Targets,deletes,0,
Object.annotation_keywords__sys,Claim,updates,0,
Object.annotation_keywords__sys,Claim,deletes,0,
Object.answer_library_design__sys,Answer Library Design,updates,0,
Object.answer_library_design__sys,Answer Library Design,deletes,0,
Object.application_managed_user__v,Application Managed User,updates,0,
Object.application_managed_user__v,Application Managed User,deletes,0,
Object.application_role__v,Application Role,updates,0,
Object.application_role__v,Application Role,deletes,0,
Object.automation_task__v,Automation Task,updates,0,
Object.automation_task__v,Automation Task,deletes,0,
Object.available_answer__sys,Available Answer,updates,0,
Object.available_answer__sys,Available Answer,deletes,0,
Object.available_answer_design__sys,Available Answer Design,updates,0,
Object.available_answer_design__sys,Available Answer Design,deletes,0,
Object.batch__v,Batch,updates,0,
Object.batch__v,Batch,deletes,0,
Object.binder_metadata__v,Binder Section Metadata,updates,0,
Object.binder_metadata__v,Binder Section Metadata,deletes,0,
Object.case1__c,Case1,updates,0,
Object.case1__c,Case1,deletes,0,
Object.case_access_group__v,Case Access Group,updates,0,
Object.case_access_group__v,Case Access Group,deletes,0,
Object.case_access_group_assignment__v,Case Access Group Assignment,updates,0,
Object.case_access_group_assignment__v,Case Access Group Assignment,deletes,0,
Object.case_adverse_event__v,Case Adverse Event,updates,0,
Object.case_adverse_event__v,Case Adverse Event,deletes,0,
Object.case_assessment__v,Case Assessment,updates,0,
Object.case_assessment__v,Case Assessment,deletes,0,
Object.case_assessment_expectedness__v,Case Assessment Expectedness,updates,0,
Object.case_assessment_expectedness__v,Case Assessment Expectedness,deletes,0,
Object.case_assessment_result__v,Case Assessment Result,updates,0,
Object.case_assessment_result__v,Case Assessment Result,deletes,0,
Object.case_assignment_team__v,Case Assignment Team,updates,0,
Object.case_assignment_team__v,Case Assignment Team,deletes,0,
Object.case_cause_of_death__v,Case Cause of Death,updates,0,
Object.case_cause_of_death__v,Case Cause of Death,deletes,0,
Object.case_checklist_rule_assignments__v,Case Checklist Rule Assignment,updates,0,
Object.case_checklist_rule_assignments__v,Case Checklist Rule Assignment,deletes,0,
Object.case_collection__v,Case Collection,updates,0,
Object.case_collection__v,Case Collection,deletes,0,
Object.case_collection_case_number__v,Case Collection-Case Number,updates,0,
Object.case_collection_case_number__v,Case Collection-Case Number,deletes,0,
Object.case_contact__v,Case Contact,updates,0,
Object.case_contact__v,Case Contact,deletes,0,
Object.case_diagnosis__v,Case Diagnosis,updates,0,
Object.case_diagnosis__v,Case Diagnosis,deletes,0,
Object.case_drug_history__v,Case Drug History,updates,0,
Object.case_drug_history__v,Case Drug History,deletes,0,
Object.case_drug_history_substance__v,Case Drug History Substance,updates,0,
Object.case_drug_history_substance__v,Case Drug History Substance,deletes,0,
Object.case_identifier__v,Case Identifier,updates,0,
Object.case_identifier__v,Case Identifier,deletes,0,
Object.case_medical_history__v,Case Medical History,updates,0,
Object.case_medical_history__v,Case Medical History,deletes,0,
Object.case_number__v,Case Number,updates,0,
Object.case_number__v,Case Number,deletes,0,
Object.case_processing_user__v,Case Processing User,updates,0,
Object.case_processing_user__v,Case Processing User,deletes,0,
Object.case_product__v,Case Product,updates,0,
Object.case_product__v,Case Product,deletes,0,
Object.case_product_device_code__v,Case Product Device Code,updates,0,
Object.case_product_device_code__v,Case Product Device Code,deletes,0,
Object.case_product_dosage__v,Case Product Dosage,updates,0,
Object.case_product_dosage__v,Case Product Dosage,deletes,0,
Object.case_product_indication__v,Case Product Indication,updates,0,
Object.case_product_indication__v,Case Product Indication,deletes,0,
Object.case_product_registration__v,Case Product Registration,updates,0,
Object.case_product_registration__v,Case Product Registration,deletes,0,
Object.case_product_substance__v,Case Product Substance,updates,0,
Object.case_product_substance__v,Case Product Substance,deletes,0,
Object.case_relationship__v,Case Relationship,updates,0,
Object.case_relationship__v,Case Relationship,deletes,0,
Object.case_study_registration__v,Case Study Registration,updates,0,
Object.case_study_registration__v,Case Study Registration,deletes,0,
Object.case_test_result__v,Case Test Result,updates,0,
Object.case_test_result__v,Case Test Result,deletes,0,
Object.case_user_assignment_activity__v,Case User Assignment Activity,updates,0,
Object.case_user_assignment_activity__v,Case User Assignment Activity,deletes,0,
Object.case_version__v,Case,updates,0,
Object.case_version__v,Case,deletes,0,
Object.case_version_available_answer__sys,Case Available Answer,updates,0,
Object.case_version_available_answer__sys,Case Available Answer,deletes,0,
Object.case_version_checklist__sys,Case Checklist,updates,0,
Object.case_version_checklist__sys,Case Checklist,deletes,0,
Object.case_version_dependency__sys,Case Dependency,updates,0,
Object.case_version_dependency__sys,Case Dependency,deletes,0,
Object.case_version_response__sys,Case Response,updates,0,
Object.case_version_response__sys,Case Response,deletes,0,
Object.case_version_response_doc__sys,Case Response-Doc,updates,0,
Object.case_version_response_doc__sys,Case Response-Doc,deletes,0,
Object.case_version_response_ref_doc__sys,Case Response-Ref-Doc,updates,0,
Object.case_version_response_ref_doc__sys,Case Response-Ref-Doc,deletes,0,
Object.case_version_section__sys,Case Section,updates,0,
Object.case_version_section__sys,Case Section,deletes,0,
Object.case_version_sig__sys,Case Signature,updates,0,
