modified_date__v,extract,extract_label,column_name,column_label,type,length,related_extract
,Document.document_version__sys,Document Version,id,ID,String,100,
,Document.document_version__sys,Document Version,modified_date__v,Modified Date,DateTime,,
,Document.document_version__sys,Document Version,doc_id,Document ID,String,100,
,Document.document_version__sys,Document Version,version_id,Document Version ID,String,100,
,Document.document_version__sys,Document Version,source_file,Source File,String,2000,
,Document.document_version__sys,Document Version,rendition_file,Rendition File,String,2000,
,Document.document_version__sys,Document Version,access_group__v,Case Access Group,MultiRelationship,1000,Object.case_access_group__v
,Document.document_version__sys,Document Version,aggregate_report__v,Aggregate Report,Relationship,,Object.aggregate_report__v
,Document.document_version__sys,Document Version,aggregate_report_task__v,Aggregate Report Task,Relationship,,Object.aggregate_report_task__v
,Document.document_version__sys,Document Version,agreement_scope__v,Agreement Scope,MultiPicklist,1000,Picklist.picklist__sys
,Document.document_version__sys,Document Version,archived_date__sys,Archived Date,DateTime,,
,Document.document_version__sys,Document Version,attachment_description__v,Description,String,1500,
,Document.document_version__sys,Document Version,attachment_description_continue__v,Description(continue),String,500,
,Document.document_version__sys,Document Version,attachment_type__v,Attachment Type,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,batch_number__v,Batch Number,MultiRelationship,1000,Object.batch__v
,Document.document_version__sys,Document Version,binder__v,Binder,Boolean,,
,Document.document_version__sys,Document Version,binder_created_from__v,Created From,Relationship,,Object.edl__v
,Document.document_version__sys,Document Version,binder_last_autofiled_by__v,Last Auto-Filed By,Relationship,,Object.user__sys
,Document.document_version__sys,Document Version,binder_last_autofiled_date__v,Last Auto-Filed Date,DateTime,,
,Document.document_version__sys,Document Version,blind_protection__v,Blind Protection,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,bookmarks_edited__sys,Bookmarks Edited,Boolean,,
,Document.document_version__sys,Document Version,bound_source_major_version__v,Bound Source Major Version,Number,,
,Document.document_version__sys,Document Version,bound_source_minor_version__v,Bound Source Minor Version,Number,,
,Document.document_version__sys,Document Version,case_collection__v,Case Collection,Relationship,,Object.case_collection__v
,Document.document_version__sys,Document Version,case_information__c,Case Information,Relationship,,Object.case_version__v
,Document.document_version__sys,Document Version,case_version__v,Case,MultiRelationship,1000,Object.case_version__v
,Document.document_version__sys,Document Version,certified_copy__v,Certified Copy,Boolean,,
,Document.document_version__sys,Document Version,check__c,Check,Boolean,,
,Document.document_version__sys,Document Version,checkout_type__sys,Check Out Type,Picklist,46,Picklist.picklist__sys
,Document.document_version__sys,Document Version,classification__v,Classification,String,100,
,Document.document_version__sys,Document Version,completion_date__c,Completion Date,Date,,
,Document.document_version__sys,Document Version,copy_depth__v,Copy Depth,Number,,
,Document.document_version__sys,Document Version,core_implementation_strategy__v,Core Implementation Strategy,MultiRelationship,1000,Object.rmp_core_implementation_strategy__v
,Document.document_version__sys,Document Version,core_risk_management_plan__v,Core Risk Management Plan,Relationship,,Object.core_rmp__v
